Caltrans District ID Number,Route Number,Route Suffix,County,Postmile Prefix,Postmile Number,Postmile Suffix,Description of Location,South or Westbound Peak Hour,South or Westbound Peak Month,South or Westbound Annual Average Daily Traffic (AADT),North or Eastbound Peak Hour,North or Eastbound Peak Month,North or Eastbound Annual Average Daily Traffic (AADT),Location
7,1,,Los Angeles,,6.26,,"LONG BEACH, LONG BEACH BOULEVARD",3200,33500,32500,3350,35500,34500,"(33.7899144, -118.1892922)"
7,1,,Los Angeles,,7.288,,"LONG BEACH, JCT. RTE. 710",4550,49500,40500,4350,47500,39000,"(33.78994579, -118.207878)"
7,1,,Los Angeles,,8.266,,"LONG BEACH, JCT. RTE. 103",3800,41500,34000,3300,36500,30000,"(33.78989623, -118.2244792)"
7,1,,Los Angeles,,9.253,,"LOS ANGELES, ALAMEDA STREET",3300,36500,30000,3550,40000,32500,"(33.79129215, -118.2407841)"
7,1,,Ventura,,9.866,,CALLEGUAS CREEK,1150,10700,9600,1150,10700,9600,"(34.11238598, -119.0816787)"
7,1,,Ventura,,10.229,,LAS POSAS ROAD,1150,10700,9600,1050,9800,8900,"(34.11686829, -119.0852611)"
7,1,,Los Angeles,,10.532,,"LOS ANGELES, AVALON BOULEVARD",3550,40000,33000,4350,50000,41000,"(33.7912058, -118.2633188)"
7,1,,Ventura,,11.594,,WOOD ROAD ,1050,9800,8900,1350,12500,11500,"(34.13336014, -119.0984389)"
7,1,,Los Angeles,,11.61,,"LOS ANGELES, JCT. RTE. 110",4400,51000,41500,4250,57000,55000,"(33.7906431, -118.2821419)"
7,1,,Los Angeles,,12.171,,"LOS ANGELES, VERMONT AVENUE",4250,57000,55000,4200,55000,53000,"(33.79105937, -118.291744)"
7,1,,Los Angeles,,12.523,,"LOS ANGELES, NORMANDIE AVENUE",4200,55000,53000,3900,50000,48500,"(33.78996466, -118.2975955)"
7,1,,Ventura,,12.785,,HUENEME ROAD,1350,12500,11500,1400,12900,12000,"(34.14683676, -119.1113979)"
7,1,,Los Angeles,,13.1,,"LOS ANGELES, JCT. RTE. 213",3950,50000,49000,5000,63000,61000,"(33.78952894, -118.307534)"
7,1,,Ventura,,13.59,,NAUMAN ROAD ,1400,12900,12000,1400,12900,12100,"(34.15394936, -119.122615)"
7,1,,Los Angeles,,14.634,,"TORRANCE, CRENSHAW BOULEVARD",4850,59000,58000,3800,44500,43500,"(33.79211576, -118.3331149)"
7,1,,Ventura,R,15.053,,"OXNARD, PLEASANT VALLEY ROAD/RICE AVENUE",1400,12900,12100,2050,18700,17800,"(34.16632324, -119.1423171)"
7,1,,Ventura,,15.061,,"OXNARD, PLEASANT VALLEY RD(OXNARD BLVD)",2050,18700,17800,1350,14000,13100,"(34.16559556, -119.1440132)"
7,1,,Ventura,,15.925,,"OXNARD, CHANNEL ISLANDS BOULEVARD",1350,14000,13100,1100,11500,10800,"(34.17268592, -119.1564188)"
7,1,,Los Angeles,,16.005,,"TORRANCE, JCT. RTE. 107",3350,40000,39000,3700,44500,42500,"(33.80510234, -118.3511057)"
7,1,,Ventura,,16.21,,"OXNARD, ROSE AVE",1100,11500,10800,1750,18200,17700,"(34.1754691, -119.1599104)"
7,1,,Ventura,,16.664,,"OXNARD, VIA OXNARD BOULEVARD",1750,18200,17700,1750,18200,17700,"(34.18032045, -119.1654441)"
7,1,,Ventura,,17.626,,"OXNARD, SAVIERS ROAD",1750,18200,17700,2800,30500,29500,"(34.19004177, -119.177366)"
7,1,,Los Angeles,,18.09,,"TORRANCE, PALOS VERDES BOULEVARD",2750,33500,32000,2400,30000,29000,"(33.81865749, -118.3835029)"
7,1,,Ventura,,18.154,,"OXNARD, JCT. RTE. 34",2850,31500,31000,2950,34000,33500,"(34.1976555, -119.177331)"
7,1,,Los Angeles,,19.524,,"REDONDO BEACH, TORRANCE BOULEVARD",3250,41000,39000,3250,41000,39500,"(33.83833474, -118.3854344)"
7,1,,Ventura,,19.621,,"OXNARD, GONZALES ROAD",3300,39500,39000,4150,43000,41000,"(34.21905939, -119.1770331)"
7,1,,Ventura,,20.14,,"OXNARD, JCT. RTE. 232",4150,43000,41000,3100,32500,30500,"(34.22651621, -119.1773522)"
7,1,,Ventura,,21.075,,"OXNARD, JCT. RTE. 101",3100,32500,30500,720,6800,4500,"(34.23985071, -119.1808191)"
7,1,,Los Angeles,,21.181,,"HERMOSA BEACH, AVIATION BOULEVARD",5100,65000,62000,4150,53000,50000,"(33.86261332, -118.3923311)"
7,1,,Los Angeles,,21.341,,"HERMOSA BEACH, PIER AVENUE/14TH STREET",4150,53000,50000,3750,48000,45500,"(33.86481716, -118.3929641)"
7,1,,Los Angeles,,21.919,,"MANHATTAN BEACH, ARTESIA BOULEVARD",3900,49500,47000,3800,48500,46000,"(33.87282545, -118.3954674)"
11,54,,San Diego,T,14.212,,END OF ROUTE,1900,21900,21800,,,,"(32.77611948, -116.9278921)"
7,1,,Los Angeles,,22.9,,"MANHATTAN BEACH, MANHATTAN BEACH BLVD",4050,51000,48500,4850,60000,57000,"(33.88737046, -118.395927)"
7,1,,Los Angeles,,23.924,,"EL SEGUNDO, ROSECRANS AVENUE",5400,67000,64000,5600,68000,65000,"(33.90182651, -118.3960924)"
7,1,,Los Angeles,,24.911,,"EL SEGUNDO, EL SEGUNDO BOULEVARD",5200,64000,61000,4800,58000,56000,"(33.91636532, -118.3958661)"
7,1,,Los Angeles,,25.924,,"LOS ANGELES, JCT. RTE. 105",5400,64000,62000,9700,115000,110000,"(33.93148532, -118.3959911)"
7,1,,Los Angeles,,26.904,,"LOS ANGELES, LA INTN'L AIRPORT, CENTURY BLVD",9700,115000,110000,7400,87000,84000,"(33.94461012, -118.3961124)"
7,1,,Los Angeles,,27.363,,"LOS ANGELES, LA INTN'L AIRPORT, LINCOLN BLVD",7400,87000,84000,3250,41000,37000,"(33.9517079, -118.3962377)"
7,1,,Ventura,,27.675,,"SEACLIFF COLONY, JCT. RTE. 101",720,6800,4500,130,970,610,"(34.34319166, -119.4167003)"
7,1,,Ventura,,28.48,,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",130,970,610,,,,"(34.35097413, -119.4261002)"
7,1,,Los Angeles,,29.084,,"LOS ANGELES, MANCHESTER AVENUE",3750,46500,42000,5200,63000,56000,"(33.9598469, -118.4192456)"
7,1,,Los Angeles,,30.163,,"LOS ANGELES, JEFFERSON BOULEVARD",5200,63000,56000,5100,64000,58000,"(33.97218528, -118.4302319)"
7,1,,Los Angeles,,30.474,,"LOS ANGELES, CULVER BOULEVARD",5100,64000,58000,5300,66000,60000,"(33.97601043, -118.4330069)"
7,1,,Los Angeles,,31.29,,"LOS ANGELES, JCT. RTE. 90",4500,58000,52000,5400,72000,65000,"(33.98471942, -118.4426619)"
7,1,,Los Angeles,,31.78,,"LOS ANGELES, WASHINGTON BLVD",5500,75000,68000,4100,51000,47500,"(33.99050044, -118.4477933)"
7,1,,Los Angeles,,32.166,,"LOS ANGELES, JCT. RTE. 187",4100,51000,47500,3450,45000,41500,"(33.99410645, -118.4527221)"
7,1,,Los Angeles,R,34.576,,"SANTA MONICA, JCT. RTE. 10",3400,46500,43500,5800,66000,63000,"(34.01480936, -118.4860113)"
7,1,,Los Angeles,,35.184,,"SANTA MONICA, OCEAN AVENUE",5800,66000,63000,6700,76000,74000,"(34.01143477, -118.4949047)"
7,1,,Los Angeles,,36.11,,"SANTA MONICA, CALIFORNIA AVENUE",6700,76000,74000,7500,84000,79000,"(34.02028828, -118.5066522)"
7,1,,Los Angeles,,37.045,,"LOS ANGELES, CHAUTAUQUA BOULEVARD",7500,84000,79000,7600,86000,80000,"(34.02827181, -118.519395)"
7,1,,Los Angeles,,39.326,,"LOS ANGELES, SUNSET BOULEVARD",5900,68000,63000,5600,65000,60000,"(34.03856924, -118.5556517)"
7,1,,Los Angeles,,40.769,,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",4900,57000,53000,4750,51000,49000,"(34.040144, -118.5793215)"
7,1,,Los Angeles,,44.121,,"MALIBU, LAS FLORES CANYON ROAD",3950,43000,40500,4000,43000,41000,"(34.03695698, -118.6360279)"
7,1,,Los Angeles,,47.091,,"MALIBU, CROSS CREEK ROAD",4150,44500,41500,5200,51000,43000,"(34.03444587, -118.6851226)"
7,1,,Los Angeles,,47.75,,"MALIBU, CIVIC CENTER WAY",5200,51000,43000,4450,43500,36500,"(34.03525817, -118.6970827)"
7,1,,Los Angeles,,48.171,,"MALIBU, MALIBU CANYON ROAD",4450,43500,36500,3950,38500,32500,"(34.03478941, -118.7033693)"
7,1,,Los Angeles,,54.02,,"MALIBU, KANAN DUME ROAD",3400,33000,28000,3600,34500,29500,"(34.02154665, -118.8025736)"
7,1,,Los Angeles,,56.843,,"MALIBU, TRANCAS CANYON RD/BROAD BEACH RD",2800,26500,21300,2200,20700,16700,"(34.03110795, -118.8435028)"
7,1,,Los Angeles,,57.391,,"MALIBU, LUNITA ROAD",2200,20700,16700,2200,20700,16700,"(34.03501583, -118.8513243)"
7,1,,Los Angeles,,59.401,,"MALIBU, ENCINAL CANYON ROAD",1950,18300,14800,1600,15100,12300,"(34.04042179, -118.8854447)"
7,1,,Los Angeles,,59.901,,"MALIBU, JCT. RTE. 23",1600,15100,12300,1550,14400,11700,"(34.04152143, -118.89438)"
7,1,,Los Angeles,,62.301,,MULHOLLAND HIGHWAY,1450,13700,11200,1550,14400,11800,"(34.04516439, -118.9350861)"
7,1,,Los Angeles,,62.867,,LOS ANGELES/VENTURA COUNTY LINE,1550,14400,11800,,,,"(34.04665327, -118.9446253)"
7,2,,Los Angeles,,2.321,,"LOS ANGELES, CENTINELA  AVENUE",,,,2550,30500,29500,"(34.038629, -118.467722)"
7,2,,Los Angeles,,2.6,,"LOS ANGELES, BUNDY DRIVE",2550,30500,29500,2500,30000,28500,"(34.04054094, -118.4633409)"
7,2,,Los Angeles,,3.645,,"LOS ANGELES, JCT. RTE. 405",4350,53000,51000,3900,52000,50000,"(34.046968, -118.4466685)"
7,2,,Los Angeles,,10.651,,"LOS ANGELES, SYCAMORE AVENUE",3900,52000,50000,2850,43000,40500,"(34.0907, -118.342784)"
7,2,,Los Angeles,,10.896,,"LOS ANGELES, HIGHLAND AVENUE",2850,43000,40500,2750,41500,39000,"(34.09071058, -118.3385485)"
7,2,,Los Angeles,,11.581,,"LOS ANGELES, VINE STREET",2750,41500,39000,2600,40000,37500,"(34.09073782, -118.3267105)"
7,2,,Los Angeles,,12.32,,"LOS ANGELES, WILTON PLACE",2600,40000,37500,2800,43500,40500,"(34.09076193, -118.3138776)"
7,2,,Los Angeles,,12.58,,"LOS ANGELES, WESTERN AVENUE",2800,43500,40500,3850,62000,56000,"(34.09076967, -118.3093668)"
7,2,,Los Angeles,,12.75,,"LOS ANGELES, JCT. RTE. 101",3850,62000,56000,2400,29000,26500,"(34.090786, -118.30658)"
7,2,,Los Angeles,,13.19,,"LOS ANGELES, SUNSET BOULEVARD",2400,29000,26500,3700,42000,38500,"(34.07764436, -118.2634415)"
7,2,,Los Angeles,,13.592,,"LOS ANGELES, LEFT ONTO GLENDALE BOULEVARD",3300,36000,33500,6300,66000,61000,"(34.08268713, -118.260274)"
7,2,,Los Angeles,,14.213,,"LOS ANGELES, RIGHT VIA THE GLENDALE FREEWAY",6300,66000,61000,5500,59000,58000,"(34.09140191, -118.2580967)"
7,2,,Los Angeles,,15.143,,"LOS ANGELES, JCT. RTE. 5",5500,59000,58000,14600,162000,158000,"(34.102557, -118.249831)"
7,2,,Los Angeles,,16.008,,"LOS ANGELES, SAN FERNANDO ROAD ",14600,162000,158000,14000,154000,151000,"(34.11341769, -118.2437927)"
7,2,,Los Angeles,R,17.002,,"LOS ANGELES, VERDUGO ROAD",14000,154000,151000,12600,139000,137000,"(34.12101989, -118.2298975)"
7,2,,Los Angeles,R,17.288,,"LOS ANGELES, YORK BOULEVARD",12600,139000,137000,14400,159000,156000,"(34.12512663, -118.2281185)"
7,2,,Los Angeles,R,18.814,,"LOS ANGELES, JCT. RTE. 134",14400,159000,156000,11900,126000,124000,"(34.14717442, -118.2260108)"
7,2,,Los Angeles,R,20.053,,"GLENDALE, MOUNTAIN STREET",11900,126000,124000,11200,114000,112000,"(34.16479613, -118.224581)"
7,2,,Los Angeles,R,22.939,,"LA CANADA-FLINTRIDGE, JCT. RTE. 210",11200,114000,112000,1350,14100,13000,"(34.2048107, -118.2181852)"
7,2,,Los Angeles,R,23.438,,"LA CANADA-FLINTRIDGE, FOOTHILL BOULEVARD",1350,14100,13000,1850,16300,15400,"(34.21140661, -118.215401)"
7,2,,Los Angeles,,24.463,,EAST JCT. RTE. 210,1850,16300,15400,1850,16300,15400,"(34.20665541, -118.2000616)"
7,2,,Los Angeles,R,25.35,,VISTA DEL VALLE ROAD,990,8700,8200,910,7400,6900,"(34.21898189, -118.198549)"
7,2,,Los Angeles,,26.99,,ANGELES FOREST BOUNDARY,530,3750,3500,530,3750,3500,"(34.227154, -118.18654)"
7,2,,Los Angeles,,28.576,,SLIDE CANYON BRIDGE,530,3750,3450,530,3750,3450,"(34.24222131, -118.1895102)"
7,2,,Los Angeles,,33.8,,ANGELES FOREST HIGHWAY,470,3350,3100,130,810,750,"(34.27019644, -118.1533533)"
7,2,,Los Angeles,,38.37,,MOUNT WILSON ROAD,130,810,750,70,400,370,"(34.25844383, -118.1051955)"
7,2,,Los Angeles,,50.61,,"ENTRANCE, UPPER CHILAO RECREATION AREA",80,430,390,80,410,380,"(34.32601037, -118.0027046)"
7,2,,Los Angeles,,58.09,,BUCKHORN RANGER STATION,50,250,230,50,250,230,"(34.34636751, -117.9210154)"
7,2,,Los Angeles,,64.085,,"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",40,230,220,40,230,220,"(34.35686686, -117.8510842)"
7,2,,Los Angeles,,77.39,,BLUE RIDGE ROAD,40,230,220,80,420,390,"(34.37514256, -117.7206881)"
7,2,,Los Angeles,,79.881,,BIG PINES HIGHWAY,80,420,390,320,1700,1600,"(34.37893112, -117.6906771)"
7,2,,Los Angeles,,82.265,,LOS ANGELES/SAN BERNARDINO COUNTY LINE,370,2000,1850,,,,"(34.36616156, -117.6526126)"
7,5,,Los Angeles,,0,,ORANGE/LOS ANGELES COUNTY LINE,,,,10300,177000,171000,"(33.87487378, -118.0114611)"
7,5,,Los Angeles,,1.21,,"SANTA FE SPRINGS, VALLEY VIEW AVENUE ",10300,177000,171000,10000,170000,167000,"(33.88417323, -118.0289087)"
7,5,,Los Angeles,,1.684,,"SANTA FE SPRINGS, ALONDRA BOULEVARD",10000,170000,167000,10000,172000,168000,"(33.88794302, -118.0358789)"
7,5,,Los Angeles,,2.408,,"NORWALK, CARMENITA ROAD",10100,171000,168000,10200,173000,170000,"(33.8937053, -118.0465409)"
7,5,,Los Angeles,,3.637,,"NORWALK, FIRESTONE BOULEVARD ",10200,173000,170000,10100,173000,172000,"(33.90406534, -118.0636834)"
7,5,,Los Angeles,,4.22,,"NORWALK, NORWALK BLVD/SAN ANTONIO AVE",10100,173000,170000,10200,174000,173000,"(33.91054479, -118.0706575)"
7,5,,Los Angeles,,4.912,,"NORWALK, IMPERIAL HIGHWAY",10200,174000,173000,11400,192000,190000,"(33.91691282, -118.0796128)"
7,5,,Los Angeles,,6.848,,"SANTA FE SPRINGS, JCT. RTE. 605",11400,192000,190000,14300,233000,228000,"(33.94128157, -118.096596)"
7,5,,Los Angeles,,8.307,,"DOWNEY, LAKEWOOD BOULEVARD",14300,233000,228000,14500,236000,232000,"(33.95793811, -118.1117224)"
7,5,,Los Angeles,,8.947,,"DOWNEY, PARAMOUNT BOULEVARD",14500,236000,232000,14400,240000,233000,"(33.96417218, -118.1199229)"
7,5,,Los Angeles,,9.698,,"COMMERCE, SLAUSON AVENUE",14400,240000,233000,13500,223000,218000,"(33.97437752, -118.1241517)"
7,5,,Los Angeles,,10.876,,"COMMERCE, GARFIELD AVENUE",13500,223000,218000,13400,221000,216000,"(33.98747892, -118.1373159)"
7,5,,Los Angeles,,11.554,,"COMMERCE, WASHINGTON BOULEVARD",13400,221000,216000,14000,230000,223000,"(33.99504517, -118.1446374)"
7,5,,Los Angeles,,12.8,,"COMMERCE, ATLANTIC BOULEVARD",14000,230000,223000,14100,234000,229000,"(34.00890528, -118.1586281)"
7,5,,Los Angeles,,13.784,,"COMMERCE, JCT. RTE. 710",14100,234000,229000,15400,257000,251000,"(34.01642199, -118.1727058)"
7,5,,Los Angeles,,14.251,,DOWNEY ROAD,15400,257000,251000,15900,262000,257000,"(34.01969321, -118.1800514)"
7,5,,Los Angeles,,14.8,,DITMAN AVENUE,15900,262000,257000,15700,260000,254000,"(34.02022523, -118.1895303)"
7,5,,Los Angeles,,14.944,,INDIANA STREET,15700,260000,254000,15800,261000,257000,"(34.02025785, -118.1920231)"
7,5,,Los Angeles,,16.474,,"LOS ANGELES, JCT. RTE. 60",15800,261000,257000,15100,234000,230000,"(34.02979659, -118.2158194)"
7,5,,Los Angeles,,17.562,,"LOS ANGELES, FOURTH STREET ",15100,234000,230000,15500,242000,237000,"(34.04288386, -118.2171613)"
7,5,,Los Angeles,,18.063,,"LOS ANGELES, CESAR CHAVEZ DRIVE",15500,242000,237000,15000,230000,224000,"(34.04957015, -118.2140157)"
7,5,,Los Angeles,,18.452,,"LOS ANGELES, JCT. RTE. 10",15000,230000,224000,16400,236000,233000,"(34.05526692, -118.2140864)"
7,5,,Los Angeles,,19.196,,"LOS ANGELES, MAIN STREET ",16500,236000,233000,16500,238000,230000,"(34.06576986, -118.2161448)"
7,5,,Los Angeles,,19.725,,"LOS ANGELES, NORTH BROADWAY",16500,238000,230000,16000,228000,221000,"(34.07305158, -118.2191565)"
7,5,,Los Angeles,,20.444,,"LOS ANGELES, JCT. RTE. 110",16000,228000,221000,19200,297000,289000,"(34.08192586, -118.2239189)"
7,5,,Los Angeles,,21.83,,"LOS ANGELES, STADIUM WAY ",19200,297000,289000,19000,294000,283000,"(34.09416563, -118.242418)"
7,5,,Los Angeles,,22.548,,"LOS ANGELES, JCT. RTE. 2",19000,294000,283000,15700,239000,237000,"(34.10279085, -118.2501209)"
7,5,,Los Angeles,,23.655,,"LOS ANGELES, GLENDALE BOULEVARD",15700,239000,237000,15100,229000,227000,"(34.11226681, -118.2656037)"
7,5,,Los Angeles,,24.33,,"LOS ANGELES, LOS FELIZ BLVD/GRIFFITH PARK DR",15100,229000,227000,16500,255000,250000,"(34.12057844, -118.2710835)"
7,5,,Los Angeles,,25.781,,"LOS ANGELES, COLORADO BOULEVARD",16500,255000,250000,17300,264000,260000,"(34.14084734, -118.2775382)"
7,5,,Los Angeles,,27.08,,"LOS ANGELES, JCT. RTE. 134",17300,264000,260000,15500,245000,233000,"(34.1554337, -118.2891052)"
7,5,,Los Angeles,,27.837,,"GLENDALE, WESTERN AVENUE",15500,245000,233000,14800,234000,224000,"(34.16459374, -118.2963438)"
7,5,,Los Angeles,,28.426,,"BURBANK, ALAMEDA AVENUE ",14800,234000,224000,14300,226000,217000,"(34.17023683, -118.3040704)"
7,5,,Los Angeles,,29.16,,"BURBANK, OLIVE AVENUE",14300,226000,217000,13600,216000,207000,"(34.17886479, -118.3109045)"
7,5,,Los Angeles,,29.777,,"BURBANK, BURBANK BOULEVARD",13600,216000,207000,12700,201000,194000,"(34.18560275, -118.3176135)"
7,5,,Los Angeles,,30.61,,"BURBANK, VICTORY BLVD/LINCOLN ST",12200,201000,194000,11700,186000,181000,"(34.19318722, -118.3289877)"
7,5,,Los Angeles,,31.234,,"BURBANK, BUENA VISTA STREET",11700,186000,181000,11900,188000,183000,"(34.19879788, -118.3375869)"
7,5,,Los Angeles,,32.35,,"LOS ANGELES, HOLLYWOOD WAY ",11900,188000,183000,12500,198000,193000,"(34.2121696, -118.3483382)"
7,5,,Los Angeles,,33.281,,"LOS ANGELES, ROSCOE BOULEVARD ",12500,198000,193000,12800,185000,180000,"(34.22155446, -118.3596918)"
7,5,,Los Angeles,,33.678,,"LOS ANGELES, SUNLAND BOULEVARD",12800,185000,180000,12900,192000,182000,"(34.22211316, -118.3665569)"
7,5,,Los Angeles,,34.275,,"LOS ANGELES, PENROSE STREET ",12900,192000,182000,12800,190000,180000,"(34.22615232, -118.3753628)"
7,5,,Los Angeles,,34.989,,"LOS ANGELES, LANKERSHIM BOULEVARD ",12800,190000,180000,12100,191000,182000,"(34.22673823, -118.3877543)"
7,5,,Los Angeles,,35.942,,"LOS ANGELES, SHELDON ST/LAUREL CANYON BLVD",12100,191000,182000,12200,192000,183000,"(34.23157561, -118.4033084)"
7,5,,Los Angeles,,36.358,,"LOS ANGELES, JCT. RTE. 170",12200,192000,183000,20300,300000,289000,"(34.23339585, -118.4097748)"
7,5,,Los Angeles,,37.409,,"LOS ANGELES, OSBORNE STREET ",20300,300000,289000,20700,307000,296000,"(34.24461817, -118.4221826)"
7,5,,Los Angeles,,37.957,,"LOS ANGELES, TERRA BELLA STREET ",20700,307000,296000,20100,298000,287000,"(34.25060251, -118.4285144)"
7,5,,Los Angeles,,38.502,,"LOS ANGELES, VAN NUYS BOULEVARD",20100,298000,287000,19300,285000,275000,"(34.25655592, -118.4347795)"
7,5,,Los Angeles,,39.361,,"LOS ANGELES, JCT. RTE. 118",19300,285000,275000,10600,161000,155000,"(34.26662818, -118.4432718)"
7,5,,Los Angeles,,39.98,,"LOS ANGELES, BRAND BOULEVARD ",10600,161000,155000,10500,153000,149000,"(34.27383708, -118.4498728)"
7,5,,Los Angeles,,40.241,,"LOS ANGELES, SAN FERNANDO MISSION BLVD",10500,153000,149000,9900,145000,141000,"(34.27674089, -118.452792)"
7,5,,Los Angeles,,41.597,,"LOS ANGELES, JCT. RTE. 405",9900,145000,141000,19300,290000,283000,"(34.29167153, -118.4680677)"
7,5,,Los Angeles,,42.645,,"LOS ANGELES, ROXFORD STREET",19300,290000,283000,18400,270000,266000,"(34.30319722, -118.4794515)"
7,5,S,Los Angeles,C,43.899,L,"LOS ANGELES, BEGIN LEFT ALIGN",,,,1500,20500,17800,"(34.14089185, -118.2776666)"
7,5,S,Los Angeles,C,43.925,R,"LOS ANGELES, BEGIN RIGHT ALIGN -TRUCK FREEWAY",,,,1500,20500,17800,"(34.14078002, -118.2776214)"
7,5,,Los Angeles,R,44.014,,"LOS ANGELES, JCT. RTE. 210",18400,270000,266000,19000,291000,278000,"(34.31662597, -118.4905963)"
7,5,,Los Angeles,R,44.015,,BREAK IN ROUTE,,,,,,,"(34.31663916, -118.4906074)"
7,5,S,Los Angeles,C,44.924,R,"LOS ANGELES, END RIGHT ALIGN",1500,20500,17800,,,,"(34.32542291, -118.5019274)"
7,5,S,Los Angeles,C,44.924,L,"LOS ANGELES, END LEFT ALIGN",1500,20500,17800,,,,"(34.32542291, -118.5019274)"
7,5,S,Los Angeles,C,44.924,,"LOS ANGELES, END RIGHT AND LEFT ALIGN",,,,4400,59000,51000,"(34.32542291, -118.5019274)"
7,5,,Los Angeles,R,45.584,,JCT. RTE. 14,19000,291000,278000,17100,223000,200000,"(34.3339778, -118.5083925)"
7,5,S,Los Angeles,C,45.734,,RTE. 5/14 SEPARATION OVERHEAD,4400,59000,51000,2800,38500,33500,"(34.33598045, -118.5080361)"
7,5,S,Los Angeles,C,46.351,,END TRUCK FREEWAY,2800,38500,33500,,,,"(34.340425, -118.519549)"
7,5,S,Los Angeles,C,46.352,,BREAK IN ROUTE,,,,,,,"(34.34021912, -118.5191524)"
7,5,,Los Angeles,R,49.03,,"SANTA CLARITA, CALGROVE BOULEVARD",17100,223000,200000,17200,221000,199000,"(34.36209663, -118.5549282)"
7,5,,Los Angeles,R,50.326,,"SANTA CLARITA, LYONS AVENUE",17200,221000,199000,16100,204000,186000,"(34.37869501, -118.5653164)"
7,5,,Los Angeles,R,51.442,,"SANTA CLARITA, MC BEAN PARKWAY",16100,204000,186000,15400,192000,175000,"(34.39413533, -118.5710651)"
7,5,,Los Angeles,R,52.465,,"SANTA CLARITA, VALENCIA BOULEVARD ",15400,192000,175000,13600,170000,154000,"(34.40830502, -118.5761596)"
7,5,,Los Angeles,R,53.565,,"SANTA CLARITA, SOUTH JCT. RTE. 126",13600,170000,154000,12400,155000,139000,"(34.4233099, -118.5832337)"
7,5,,Los Angeles,R,54.161,,"SANTA CLARITA, RYE CANYON ROAD",12400,155000,139000,11800,147000,130000,"(34.43104077, -118.5878427)"
7,5,,Los Angeles,R,55.48,,"SANTA CLARITA, NORTH JCT. RTE. 126",11800,147000,130000,10900,126000,114000,"(34.44437774, -118.607446)"
7,5,,Los Angeles,R,56.602,,HASLEY CANYON ROAD,10900,126000,114000,10300,124000,108000,"(34.45603665, -118.6158846)"
7,5,,Los Angeles,R,59.007,,PARKER ROAD,10300,124000,108000,7800,81000,73000,"(34.48973934, -118.6191207)"
7,5,,Los Angeles,R,59.492,,LAKE HUGHES ROAD,7800,81000,73000,8000,78000,70000,"(34.49571178, -118.6235465)"
7,5,,Los Angeles,R,65.967,,TEMPLIN HIGHWAY,8000,78000,70000,8900,78000,70000,"(34.56957375, -118.6876522)"
7,5,,Los Angeles,R,74.45,,VISTA DEL LAGO ROAD,8900,78000,70000,8900,78000,70000,"(34.66692363, -118.7631711)"
7,5,,Los Angeles,R,77.958,,SMOKEY BEAR ROAD,8900,78000,70000,9600,77000,69000,"(34.70781412, -118.7959175)"
7,5,,Los Angeles,R,81.487,,SOUTH JCT. RTE. 138,9600,77000,69000,8700,74000,67000,"(34.75868319, -118.7957921)"
7,5,,Los Angeles,R,81.757,,QUAIL LAKE ROAD,8700,74000,67000,8800,74000,67000,"(34.76223097, -118.7970841)"
7,5,,Los Angeles,R,82.103,,NORTH JCT. RTE. 138,8800,74000,67000,9300,78000,70000,"(34.76653833, -118.7995631)"
7,5,,Los Angeles,R,85.801,,GORMAN ROAD,9300,78000,70000,9300,78000,70000,"(34.79520548, -118.8523352)"
7,5,,Los Angeles,R,88.566,,FRAZIER MOUNTAIN PARK ROAD ,9300,78000,70000,9100,79000,69000,"(34.81735348, -118.8820362)"
7,5,,Los Angeles,R,88.605,,LOS ANGELES/KERN COUNTY LINE,9000,77000,69000,,,,"(34.8178306, -118.8815337)"
7,10,,Los Angeles,R,2.155,,"SANTA MONICA, JCT. RTE. 1",,,,11300,153000,148000,"(34.01475, -118.485784)"
7,10,,Los Angeles,R,3.21,,"SANTA MONICA, CLOVERFIELD BOULEVARD ",11300,153000,148000,14200,192000,187000,"(34.02387696, -118.471351)"
7,10,,Los Angeles,R,4.242,,"SANTA MONICA, CENTINELA AVE/PICO BLVD ",14200,192000,187000,14200,199000,193000,"(34.02767003, -118.454282)"
7,10,,Los Angeles,R,4.51,,"LOS ANGELES, BUNDY DRIVE",14200,199000,193000,16800,242000,235000,"(34.02810821, -118.4494764)"
7,10,,Los Angeles,R,5.454,,"LOS ANGELES, JCT. RTE. 405",16800,242000,235000,18000,251000,247000,"(34.0312195, -118.433509)"
7,10,,Los Angeles,R,6.402,,"LOS ANGELES, OVERLAND AVENUE",18000,251000,247000,15700,246000,244000,"(34.03165946, -118.4169696)"
7,10,,Los Angeles,R,7.207,,"LOS ANGELES, NATIONAL BOULEVARD ",15700,246000,244000,17200,261000,259000,"(34.02958494, -118.4035159)"
7,10,,Los Angeles,R,7.915,,"LOS ANGELES, ROBERTSON BOULEVARD",17200,261000,259000,17400,257000,255000,"(34.03040465, -118.3915669)"
7,10,,Los Angeles,R,8.965,,"LOS ANGELES, JCT. RTE. 187",17400,257000,255000,19100,271000,266000,"(34.03654904, -118.3759748)"
7,10,,Los Angeles,R,10.43,,"LOS ANGELES, LA BREA AVENUE ",19100,271000,266000,20800,287000,278000,"(34.03418702, -118.3504884)"
